t_rel,L_cmd_rpm,R_cmd_rpm,L_meas_rpm,R_meas_rpm,L_pos_rev,R_pos_rev,v_target,w_target,v_slewed,w_slewed,v_after_imu,w_after_imu,yaw,yaw_rate,heading_locked,estop
19.477959997,2590.718505859375,2344.0859375,1389.0,926.0,-97.59829711914062,102.43099975585938,1.4906847476959229,-0.11127375811338425,0.8199999928474426,-0.11127375811338425,0.8199999928474426,-0.11127375811338425,0.0,0.0,0.0,0.0
19.498051337,2650.899169921875,2404.266357421875,1389.0,926.0,-97.59829711914062,102.43099975585938,1.4906847476959229,-0.11127375811338425,0.8399999737739563,-0.11127375811338425,0.8399999737739563,-0.11127375811338425,0.0,0.0,0.0,0.0
19.518016849,2711.07958984375,2464.447021484375,1389.0,926.0,-97.59829711914062,102.43099975585938,1.4906847476959229,-0.11127375811338425,0.8600000143051147,-0.11127375811338425,0.8600000143051147,-0.11127375811338425,0.0,0.0,0.0,0.0
19.538043164,2770.791748046875,2525.095947265625,1583.0,1091.0,-94.7654037475586,104.5260009765625,1.490755558013916,-0.11085105687379837,0.8799999952316284,-0.11085105687379837,0.8799999952316284,-0.11085105687379837,0.0,0.0,0.0,0.0
19.557949283,2830.97216796875,2585.276611328125,1583.0,1091.0,-94.7654037475586,104.5260009765625,1.490755558013916,-0.11085105687379837,0.8999999761581421,-0.11085105687379837,0.8999999761581421,-0.11085105687379837,0.0,0.0,0.0,0.0
19.578041007,2891.15283203125,2645.45703125,1583.0,1091.0,-94.7654037475586,104.5260009765625,1.490755558013916,-0.11085105687379837,0.9200000166893005,-0.11085105687379837,0.9200000166893005,-0.11085105687379837,0.0,0.0,0.0,0.0
19.598049369,2951.333251953125,2705.6376953125,1583.0,1091.0,-94.7654037475586,104.5260009765625,1.490755558013916,-0.11085105687379837,0.9399999976158142,-0.11085105687379837,0.9399999976158142,-0.11085105687379837,0.0,0.0,0.0,0.0
19.61798448,3011.513916015625,2765.818115234375,1583.0,1091.0,-94.7654037475586,104.5260009765625,1.490755558013916,-0.11085105687379837,0.9599999785423279,-0.11085105687379837,0.9599999785423279,-0.11085105687379837,0.0,0.0,0.0,0.0
19.637953065,3067.5078125,2830.185302734375,1703.0,1251.0,-91.76580047607422,106.8114013671875,1.4913766384124756,-0.10707320272922516,0.9800000190734863,-0.10707320272922516,0.9800000190734863,-0.10707320272922516,0.0,0.0,0.0,0.0
19.658217274,3127.688232421875,2890.365966796875,1703.0,1251.0,-91.76580047607422,106.8114013671875,1.4913766384124756,-0.10707320272922516,1.0,-0.10707320272922516,1.0,-0.10707320272922516,0.0,0.0,0.0,0.0
19.677949372,3175.278564453125,2963.13671875,1703.0,1251.0,-91.76580047607422,106.8114013671875,1.4931135177612305,-0.09571240842342377,1.0199999809265137,-0.09571240842342377,1.0199999809265137,-0.09571240842342377,0.0,0.0,0.0,0.0
19.698057673,3235.458984375,3023.3173828125,1703.0,1251.0,-91.76580047607422,106.8114013671875,1.4931135177612305,-0.09571240842342377,1.0399999618530273,-0.09571240842342377,1.0399999618530273,-0.09571240842342377,0.0,0.0,0.0,0.0
19.717946575,3295.6396484375,3083.497802734375,1703.0,1251.0,-91.76580047607422,106.8114013671875,1.4931135177612305,-0.09571240842342377,1.059999942779541,-0.09571240842342377,1.059999942779541,-0.09571240842342377,0.0,0.0,0.0,0.0
19.738007419,3161.039794921875,3037.555908203125,1806.0,1360.0,-88.64659881591797,109.19210052490234,0.0,-0.0,1.0299999713897705,-0.05571240931749344,1.0299999713897705,-0.05571240931749344,0.0,0.0,0.0,0.0
19.757896897,3026.43994140625,2991.6142578125,1806.0,1360.0,-88.64659881591797,109.19210052490234,0.0,-0.0,1.0,-0.01571240834891796,1.0,-0.01571240834891796,0.0,0.0,0.0,0.0
19.777990701,2918.75634765625,2918.75634765625,1806.0,1360.0,-88.64659881591797,109.19210052490234,0.0,-0.0,0.9700000286102295,0.0,0.9700000286102295,0.0,0.0,0.0,0.0,0.0
19.797938453,2828.4853515625,2828.4853515625,1806.0,1360.0,-88.64659881591797,109.19210052490234,0.0,-0.0,0.9399999976158142,0.0,0.9399999976158142,0.0,0.0,0.0,0.0,0.0
19.818156101,2738.214599609375,2738.214599609375,1806.0,1360.0,-88.64659881591797,109.19210052490234,0.0,-0.0,0.9100000262260437,0.0,0.9100000262260437,0.0,0.0,0.0,0.0,0.0
19.837970378,2647.94384765625,2647.94384765625,1851.0,1417.0,-85.57479858398438,111.64409637451172,0.0,-0.0,0.8799999952316284,0.0,0.8799999952316284,0.0,0.0,0.0,0.0,0.0
19.857966547,2557.673095703125,2557.673095703125,1851.0,1417.0,-85.57479858398438,111.64409637451172,0.0,-0.0,0.8500000238418579,0.0,0.8500000238418579,0.0,0.0,0.0,0.0,0.0
19.877922203,2467.402099609375,2467.402099609375,1851.0,1417.0,-85.57479858398438,111.64409637451172,0.0,-0.0,0.8199999928474426,0.0,0.8199999928474426,0.0,0.0,0.0,0.0,0.0
19.897930661,2377.13134765625,2377.13134765625,1851.0,1417.0,-85.57479858398438,111.64409637451172,0.0,-0.0,0.7900000214576721,0.0,0.7900000214576721,0.0,0.0,0.0,0.0,0.0
19.917914392,2286.860595703125,2286.860595703125,1851.0,1417.0,-85.57479858398438,111.64409637451172,0.0,-0.0,0.7599999904632568,0.0,0.7599999904632568,0.0,0.0,0.0,0.0,0.0
19.937991912,2196.58984375,2196.58984375,1834.0,1491.0,-82.62220001220703,114.21520233154297,0.0,-0.0,0.7300000190734863,0.0,0.7300000190734863,0.0,0.0,0.0,0.0,0.0
19.95792962,2106.31884765625,2106.31884765625,1834.0,1491.0,-82.62220001220703,114.21520233154297,0.0,-0.0,0.699999988079071,0.0,0.699999988079071,0.0,0.0,0.0,0.0,0.0
19.977981955,2016.048095703125,2016.048095703125,1834.0,1491.0,-82.62220001220703,114.21520233154297,0.0,-0.0,0.6700000166893005,0.0,0.6700000166893005,0.0,0.0,0.0,0.0,0.0
19.997943472,1925.77734375,1925.77734375,1834.0,1491.0,-82.62220001220703,114.21520233154297,0.0,-0.0,0.6399999856948853,0.0,0.6399999856948853,0.0,0.0,0.0,0.0,0.0
20.017887068,1835.5064697265625,1835.5064697265625,1834.0,1491.0,-82.62220001220703,114.21520233154297,0.0,-0.0,0.6100000143051147,0.0,0.6100000143051147,0.0,0.0,0.0,0.0,0.0
20.038004845,1745.2357177734375,1745.2357177734375,1691.0,1497.0,-80.2885971069336,116.61969757080078,0.0,-0.0,0.5799999833106995,0.0,0.5799999833106995,0.0,0.0,0.0,0.0,0.0
